Latitude,Longitude,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2
20.849463,71.055315,7.7,1468,0,415,199,71,132,0.06506720039,440,104,44,152,1.9,0.77,984,0
20.925231,70.916764,7.8,832,0,342,71,33,47,0.06506720039,350,72,41,51,0.66,0.28,557,0
20.958549,71.068182,8.2,721,0,354,50,23,3.5,0.06506720039,310,44,49,40,2,0.22,483,0
20.851642,71.120666,8.2,396,0,195,28,15,1.6,0.06506720039,170,36,19,22,1.6,0.26,265,0
23.877,70.808,7.4,1626,0,671,178,40,18,0.06506720039,480,128,39,140,32,2.33,1089,0
23.454,70.35,7.5,2300,0,305,497,166,1,0.06506720039,870,168,109,152,6.9,0.35,1541,0
23.171,69.637,7.9,782,0,268,107,42,0,0.06506720039,330,60,44,48,3.6,0.19,524,0
23.208,69.616,7.6,10550,0,281,2982,2400,175,0.06506720039,2700,580,304,1778,9,1.63,7069,0
23.171,69.637,7.5,1641,0,317,256,210,15,0.06506720039,550,96,75,150,16,1.46,1099,0
23.4,69.891,7.5,4680,0,390,873,867,4,0.06506720039,1100,200,146,541,33,0.92,3136,0
23.838,69.73,7.9,2632,0,329,511,235,2,0.06506720039,580,116,71,318,21,0.55,1763,0
23.402,69.329,7.6,5480,0,281,1456,351,16,0.06506720039,1500,344,156,447,88,2.85,3672,0
23.45888,69.1338888,7.9,7730,0,390,2095,846,42,0.06506720039,1370,228,195,1184,7.4,0.65,5179,0
23.266,68.833,8.7,1271,60,464,142,55,12,0.06506720039,80,16,10,300,2.8,1.09,852,0
23.283,68.947,8.4,2748,120,451,469,255,49,0.06506720039,260,44,36,586,6.2,6.7,1841,0
23.041,69.075,8.3,1593,0,464,277,107,20,0.06506720039,250,40,36,325,1.3,4.05,1067,0
23.05,69.5,8,1297,0,488,149,83,11,0.06506720039,460,100,51,119,2.1,0.96,869,0
22.873,69.082,8,2700,0,586,547,86,18,0.06506720039,430,84,54,422,13,0.89,1809,0
